CustomerID,Name,Age,Gender,Income,Occupation,Phone,Email,Geography
CUST00000,Susan Foster,56,Male,129952,Press sub,687.782.6450x737,rachel75@hahn.com,Germany
CUST00001,Mathew Brown,69,Female,74235,Occupational psychologist,+1-422-639-6514x617,matthewmckee@hotmail.com,Spain
CUST00002,Thomas Houston,46,Female,78565,Educational psychologist,(536)443-7840,hmorgan@castro.org,Germany
CUST00003,Renee Shaffer,32,Female,75342,Nature conservation officer,001-514-918-6771x545,wgraham@yahoo.com,France
CUST00004,Richard Buckley,60,Male,62723,Astronomer,001-622-085-6123x536,awilliams@gmail.com,Spain
CUST00005,Courtney Taylor,25,Female,55572,Theatre stage manager,2988385722,rcarey@gmail.com,Germany
CUST00006,Raymond Clark,38,Female,37610,Legal secretary,8229700868,hbanks@gmail.com,Germany
CUST00007,Dawn Smith,56,Female,54052,Investment analyst,5785010095,lrussell@gmail.com,Germany
CUST00008,Xavier Gill,36,Male,118993,Lexicographer,001-048-422-7067x340,maria42@simmons.biz,France
CUST00009,Frederick Johnson,40,Male,107063,Chief Operating Officer,623-104-8671,maldonadojoseph@ray.net,Spain
CUST00010,William Anderson,28,Female,57550,"Restaurant manager, fast food",626-694-4731x05028,carolbass@gmail.com,Germany
CUST00011,Danielle Maddox,28,Female,74033,Communications engineer,379.583.1670x64331,pricetimothy@hotmail.com,Germany
CUST00012,Andrew Thompson,41,Female,49011,"Surveyor, planning and development",730-495-5576,goodmantaylor@lozano.com,Spain
CUST00013,James Haynes,53,Male,122811,Health promotion specialist,+1-976-240-4361x2280,collinsjohn@gmail.com,France
CUST00014,Jason Murray,57,Male,54764,Records manager,743-712-7332x4084,espinozachristopher@hotmail.com,France
CUST00015,Emily Sutton,41,Male,117540,Financial risk analyst,486.685.1728,usalinas@yahoo.com,France
CUST00016,Yolanda White,20,Female,73533,Office manager,(105)542-9208x3872,courtney46@gmail.com,France
CUST00017,Nicole Wolf,39,Male,44064,Games developer,+1-011-507-5566,hinesryan@hotmail.com,France
